MOVIE_NAME,WRITER
G.I. Joe:Retaliation,Rhett Reese
G.I. Joe:Retaliation,Paul Wernick
Cloudy with a Chance of Meatballs 2,Jonathan M. Goldstein
Cloudy with a Chance of Meatballs 2,Erica Rivinoja
Now You See Me,Edward Ricourt
Now You See Me,Ed Solomon
Now You See Me,Boaz Yakin
Lee Daniels' The Butler,Danny Strong
The Hangover Part III,Craig Mazin
The Hangover Part III,Todd Phillips
Epic,Tom J. Astle
Epic,Matt Ember
Captain Phillips,Billy Ray
Jackass Presents:Bad Grandpa,Spike Jonze*
Jackass Presents:Bad Grandpa,Johnny Knoxville
Jackass Presents:Bad Grandpa,Jeff Tremaine
Pacific Rim,Travis Beachem
Pacific Rim,Guillermo del Toro
This is the End,Evan Goldberg
This is the End,Seth Rogen
Olympus Has Fallen,Katrin Benedikt
Olympus Has Fallen,Creighton Rothenberger
42,Brian Helgeland
Elysium,Neill Blomkamp
Planes,Jeffrey M. Howard
The Lone Ranger,Ted Elliott
The Lone Ranger,Justin Haythe
The Lone Ranger,Terry Rossio
Oblivion,Michael Arndt
Oblivion,Karl Gajdusek
Oblivion,Joseph Kosinski
Insidious Chapter 2,Leigh Whannell
Saving Mr. Banks,Kelly Marcel
Saving Mr. Banks,Sue Smith
Turbo,Darren Lemke
Turbo,Robert D. Siegel
Turbo,David Soren
2 Guns,Blake Masters
White House Down,James Vanderbilt
Mama,Neil Cross
Mama,Andres Muschietti
Mama,Barbara Muschietti
Safe Haven,Leslie Bohem
Safe Haven,Dana Stevens
The Smurfs 2,Karey Kirkpatrick
The Smurfs 2,David Ronn
The Smurfs 2,Jay Scherick
The Smurfs 2,J. David Stem
The Smurfs 2,David N. Weiss
The Best Man Holiday,Malcolm D. Lee
Percy Jackson:Sea of Monsters,Marc Guggenheim
A Good Day to Die Hard,Skip Woods
Warm Bodies,Jonathan Levine
Jack the Giant Slayer,Darren Lemke
Jack the Giant Slayer,Christopher McQuarrie
The Purge,James DeMonaco
Last Vegas,Dan Fogelman
Prisoners,Aaron Guzikowski
After Earth,M. Night Shyamalan
After Earth,Gary Whitta
The Secret Life of Walter Mitty,Steve Conrad
Escape From Planet Earth,Bob Barlen
Escape From Planet Earth,Cal Brunker
12 Years a Slave,John Ridley
Free Birds,Jimmy Hayward
Hansel and Gretel:Witch Hunters,Dante Harper
Hansel and Gretel:Witch Hunters,Tommy Wirkola
Evil Dead (2013),Fede Alvarez
Evil Dead (2013),Rodo Sayagues Mendez
Red 2,Erich Hoeber
Red 2,Jon Hoeber
Tyler Perry's A Madea Christmas,Tyler Perry
Tyler Perry's Temptation:Confessions of a Marriage Counselor,Tyler Perry
The Call,Richard D'Ovidio
Pain and Gain,Christopher Markus
Pain and Gain,Stephen McFeely
Gangster Squad,Will Beall
The Internship,Vince Vaughn
Snitch,Justin Haythe
Snitch,Ric Roman Waugh
Riddick,David Twohy
A Haunted House,Rick Alvarez
A Haunted House,Marlon Wayans
47 Ronin,Hossein Amini
47 Ronin,Chris Morgan
August:Osage County,Tracy Letts
Philomena,Steve Coogan
The Family (2013),Luc Besson
Walking with Dinosaurs,John Collee
Carrie (2013),Roberto Aguirre-Sacasa
R.I.P.D.,Phil Hay
R.I.P.D.,Matt Manfredi
Blue Jasmine,Woody Allen
Side Effects (2013),Scott Z. Burns
Scary Movie 5,David Zucker
The Mortal Instruments:City of Bones,Jessica Postigo
Delivery Man,Ken Scott
Grudge Match,Tim Kelleher
Grudge Match,Rodney Rothman
Kick-Ass 2,Jeff Wadlow
Rush (2013),Peter Morgan
The Host (2013),Andrew Niccol
The World's End,Simon Pegg
The World's End,Edgar Wright
21 and Over,Jon Lucas
21 and Over,Scott Moore
Her (2013),Spike Jonze
Escape Plan,Miles Chapman
Escape Plan,Jason Keller
Don Jon,Joseph Gordon-Levitt
The Incredible Burt Wonderstone,Jonathan M. Goldstein
The Big Wedding,Justin Zackham
Mud,Jeff Nichols
The Place Beyond the Pines,Derek Cianfrance
Homefront,Sylvester Stallone
Broken City,Brian Tucker
Beautiful Creatures (2013),Richard LaGravenese
Runner Runner,Brian Koppelman
Runner Runner,David Levien
You're Next,Simon Barrett
Admission,Karen Croner
Parker,John J. McLaughlin
Enough Said,Nicole Holofcener
Dark Skies,Scott Charles Stewart
Jobs,Matt Whiteley
Fruitvale Station,Ryan Coogler
The Last Exorcism Part II,Damien Chazelle
The Last Exorcism Part II,Ed Gass-Donnelly
Inside Llewyn Davis,Joel Coen
Inside Llewyn Davis,Ethan Coen
The Last Stand,Andrew Knauer
Out of the Furnace,Scott Cooper
Out of the Furnace,Brad Ingelsby
Dead Man Down,J.H. Wyman
Getaway (2013),Sean Finegan
Getaway (2013),Gregg Maxwell Parker
Bullet to the Head,Alessandro Camon
Battle of the Year,Brin Hill
Battle of the Year,Benson Lee
Battle of the Year,Chris Parker
Mandela:Long Walk to Freedom,William Nicholson
Before Midnight,Julie Delpy
Before Midnight,Ethan Hawke
Before Midnight,Richard Linklater
Machete Kills,Kyle Ward
Paranoia,Jason Dean Hall
Paranoia,Barry Levy
The Spectacular Now,Scott Neustadter
The Spectacular Now,Michael H. Weber
The Grandmaster,Wong Kar Wai
All Is Lost,J.C. Chandor
The Bling Ring,Sofia Coppola
Closed Circuit,Steven Knight
The Company You Keep,Lem Dobbs
Frances Ha,Noah Baumbach
Frances Ha,Greta Gerwig
The Fifth Estate,Josh Singer
In a World,Lake Bell
The East,Brit Marling
The East,Zal Batmanglij
Oldboy (2013),Mark Protosevich
Stories We Tell,Sarah Polley
I'm So Excited,Pedro Almodovar
The Invisible Woman,Abi Morgan
The Lords of Salem,Rob Zombie
Only God Forgives,Nicolas Winding Refn
Parkland,Peter Landesman
Drinking Buddies,Joe Swanberg
Starbuck (U.S. only),Ken Scott
Happy People:A Year in the Taiga,Werner Herzog
Prince Avalanche,David Gordon Green
Is the Man Who Is Tall Happy?,Michel Gondry
Aftershock,Eli Roth
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola
The We and the I,Michel Gondry
Killing Season,Evan Daugherty
Redemption (2013),Steven Knight
Touchy Feely,Lynn Shelton
Maniac (2013),Gregory Levasseur
Violet & Daisy,Geoffrey Fletcher
As I Lay Dying,James Franco
Jayne Mansfield's Car,Billy Bob Thornton
Welcome to the Punch,Eran Creevy
Hell Baby,Thomas Lennon & Ben Garant
Some Velvet Morning,Neil LaBute
Plush,Catherine Hardwicke
Marvel's The Avengers,Zak Penn
Marvel's The Avengers,Joss Whedon
The Dark Knight Rises,David S. Goyer
The Dark Knight Rises,Christopher Nolan
The Hunger Games,Suzanne Collins
The Hunger Games,Billy Ray
The Hunger Games,Gary Ross
Skyfall,John Logan
Skyfall,Neal Purvis
Skyfall,Robert Wade
The Hobbit:An Unexpected Journey,Philippa Boyens
The Hobbit:An Unexpected Journey,Guillermo del Toro
The Hobbit:An Unexpected Journey,Peter Jackson
The Hobbit:An Unexpected Journey,Fran Walsh
The Twilight Saga:Breaking Dawn Part 2,Melissa Rosenberg
The Amazing Spider-Man,Steve Kloves
The Amazing Spider-Man,Alvin Sargent
The Amazing Spider-Man,James Vanderbilt
Brave,Mark Andrews
Brave,Brenda Chapman
Brave,Irene Mecchi
Brave,Steve Purcell
Ted,Seth MacFarlane
Ted,Alec Sulkin
Ted,Wellesley Wild
Madagascar 3:Europe's Most Wanted,Noah Baumbach
Madagascar 3:Europe's Most Wanted,Eric Darnell
Dr. Seuss' The Lorax,Ken Daurio
Dr. Seuss' The Lorax,Cinco Paul
Wreck-It Ralph,Phil Johnston
Wreck-It Ralph,Jennifer Lee
Lincoln,Tony Kushner
MIB 3,Etan Cohen
Django Unchained,Quentin Tarantino
Snow White and the Huntsman,Hossein Amini
Snow White and the Huntsman,Evan Daugherty
Snow White and the Huntsman,John Lee Hancock
Les Miserables (2012),William Nicholson
Hotel Transylvania,Peter Baynham
Hotel Transylvania,Robert Smigel
Taken 2,Luc Besson
Taken 2,Robert Mark Kamen
21 Jump Street,Michael Bacall
21 Jump Street,Jonah Hill
Argo,Chris Terrio
Silver Linings Playbook,David O. Russell
Prometheus,Damon Lindelof
Prometheus,Jon Spaihts
Safe House,David Guggenheim
The Vow,Abby Kohn
The Vow,Marc Silverstein
The Vow,Michael Sucsy
Life of Pi,David Magee
Magic Mike,Reid Carolin
The Bourne Legacy,Dan Gilroy
The Bourne Legacy,Tony Gilroy
Journey 2:The Mysterious Island,Brian Gunn
Journey 2:The Mysterious Island,Mark Gunn
Rise of the Guardians,David Lindsay-Abaire
Zero Dark Thirty,Mark Boal
Flight,John Gatins
