MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Germans & Jews,5024,0,0,Documentary,2016-06-10 00:00:00
Southbound,6250,0,0,Horror Thriller,2016-02-05 00:00:00
Project Itoh - Harmony,760,0,0,Animation,2016-05-17 00:00:00
Norman Lear:Just Another Version of You,16912,0,0,Documentary,2016-07-08 00:00:00
Be Here Now:The Andy Whitfield Story,13577,0,0,Documentary,2016-04-08 00:00:00
Sanam Teri Kasam,22121,0,0,Romance,2016-02-05 00:00:00
Term Life,13040,0,0,Crime Drama,2016-04-29 00:00:00
Already Tomorrow in Hong Kong,14966,0,0,Romantic Comedy,2016-02-12 00:00:00
Almost Holy,4195,0,0,Documentary,2016-05-20 00:00:00
Paths of the Soul,2780,0,0,Drama,2016-05-13 00:00:00
Restored Me,0,0,0,Drama,2016-06-06 00:00:00
Time Changer (2016 re-release),2320,0,0,Sci-Fi Adventure,2016-02-12 00:00:00
Band of Robbers,14827,0,0,Adventure Comedy,2016-01-15 00:00:00
"Kill Me, Deadly",11600,0,0,Comedy,2016-04-01 00:00:00
Art Bastard,19600,0,0,Documentary,2016-06-03 00:00:00
Revelation:Dawn of Global Government,14975,0,0,Documentary,2016-04-15 00:00:00
Ktown Cowboys,12523,0,0,Comedy / Drama,2016-03-18 00:00:00
Seoul Searching,8966,0,0,Comedy,2016-06-17 00:00:00
Holy Hell,9238,0,0,Documentary,2016-05-27 00:00:00
I Knew Her Well,9312,0,0,Drama,2016-02-05 00:00:00
Last Cab to Darwin,620,0,0,Comedy / Drama,2016-06-10 00:00:00
"Right Now, Wrong Then",5291,0,0,Drama,2016-06-24 00:00:00
Streit's:Matzo and the American Dream,12065,0,0,Documentary,2016-04-20 00:00:00
Gurukulam,0,0,0,Documentary,2016-06-03 00:00:00
Colonia,0,0,0,Thriller,2016-04-15 00:00:00
Cosmos,3807,0,0,Drama,2016-06-17 00:00:00
Be Somebody,14129,0,0,Comedy,2016-06-10 00:00:00
Of Mind and Music,932,0,0,Drama,2016-02-12 00:00:00
Remember You,0,0,0,Romantic Thriller,2016-01-15 00:00:00
Lamb (2016),3150,0,0,Drama,2016-01-08 00:00:00
Argentina,2274,0,0,Documentary,2016-06-17 00:00:00
Kamikaze '89,5613,0,0,Sci-Fi,2016-06-03 00:00:00
Yosemite,4461,0,0,Drama,2016-01-01 00:00:00
A Space Program,10247,0,0,Documentary,2016-03-18 00:00:00
Late Spring (2016 re-release),6456,0,0,Drama,2016-03-04 00:00:00
Tikkun,3595,0,0,Drama,2016-06-10 00:00:00
Adderall Diaries,5517,0,0,Drama / Thriller,2016-04-15 00:00:00
City of Women (2016 re-issue),6244,0,0,Comedy / Drama,2016-02-19 00:00:00
The Ones Below,5191,0,0,Thriller,2016-05-27 00:00:00
Elstree 1976,3270,0,0,Documentary,2016-05-06 00:00:00
Kill Zone 2,11998,0,0,Action / Adventure,2016-05-13 00:00:00
River of Grass,2942,0,0,Drama,2016-03-11 00:00:00
Jeruzalem,11287,0,0,Horror,2016-01-22 00:00:00
Serial Killer 1,0,0,0,Crime Drama,2016-05-13 00:00:00
Approaching the Unknown,6476,0,0,Sci-Fi Thriller,2016-06-03 00:00:00
The Last King,4599,0,0,Action / Adventure,2016-06-17 00:00:00
Providence,6193,0,0,Romance,2016-02-12 00:00:00
We Are Twisted F***ing Sister!,5804,0,0,Documentary,2016-02-19 00:00:00
Mojave,3303,0,0,Thriller,2016-01-22 00:00:00
Golden Kingdom,554,0,0,Drama,2016-06-17 00:00:00
I Don't Belong Anywhere:The Cinema of Chantal Akerman,389,0,0,Documentary,2016-03-28 00:00:00
The President,0,0,0,Drama,2016-06-03 00:00:00
They Will Have to Kill Us First,4106,0,0,Documentary,2016-03-04 00:00:00
Viktoria,2468,0,0,Drama,2016-04-29 00:00:00
The Preppie Connection,5576,0,0,Crime Drama,2016-03-18 00:00:00
The Brainwashing of My Dad,0,0,0,Documentary,2016-03-18 00:00:00
Boom Bust Boom,0,0,0,Documentary,2016-03-11 00:00:00
Mad Tiger,1119,0,0,Documentary,2016-03-20 00:00:00
