MOVIE_NAME,DIRECTOR
"Jeff, Who Lives at Home",Jay Duplass
"Jeff, Who Lives at Home",Mark Duplass
The Raid:Redemption,Gareth Evans
Safety Not Guaranteed,Colin Trevorrow
Robot & Frank,Jake Schreier
Jiro Dreams of Sushi,David Gelb
Ruby Sparks,Jonathan Dayton
Ruby Sparks,Valerie Faris
Rust and Bone,Jacques Audiard
Monsieur Lazhar (U.S.-only),Philippe Falardeau
Footnote,Joseph Cedar
Killer Joe,William Friedkin
Your Sister's Sister,Lynn Shelton
Marley,Kevin Macdonald
Take This Waltz,Sarah Polley
Headhunters,Morten Tyldum
Damsels in Distress,Whit Stillman
Rampart,Oren Moverman
Darling Companion,Lawrence Kasdan
Coriolanus,Ralph Fiennes
The Paperboy,Lee Daniels
2 Days in New York,Julie Delpy
Not Fade Away,David Chase
W.E.,Madonna
Being Flynn,Paul Weitz
Bachelorette,Leslye Headland
Seeking Justice,Roger Donaldson
Sound of My Voice,Zal Batmanglij
Smashed,James Ponsoldt
The Lady,Luc Besson
Red Hook Summer,Spike Lee
Liberal Arts,Josh Radnor
The Flowers of War,Zhang Yimou
Stolen (2012),Simon West
Trishna,Michael Winterbottom
Middle of Nowhere (2012),Ava DuVernay
Neil Young Journeys,Jonathan Demme
Easy Money (2012),Daniel Espinosa
